"Continent","Country","Date","Births","Gender"
"Africa","Egypt","1991-06-01",28752,"Female"
"Africa","Egypt","1991-06-01",29060,"Female"
"Africa","Egypt","1991-07-01",34875,"Female"
"Africa","Egypt","1991-07-01",35247,"Female"
"Africa","Egypt","1991-08-01",34160,"Female"
"Africa","Egypt","1991-08-01",34525,"Female"
"Africa","Egypt","1991-09-01",42064,"Female"
"Africa","Egypt","1991-09-01",42513,"Female"
"Africa","Egypt","1991-10-01",36601,"Female"
"Africa","Egypt","1991-10-01",36991,"Female"
"Africa","Egypt","1991-11-01",29437,"Female"
"Africa","Egypt","1991-11-01",29752,"Female"
"Africa","Egypt","1991-12-01",21851,"Female"
"Africa","Egypt","1991-12-01",22085,"Female"
"Africa","Egypt","1992-01-01",43022,"Female"
"Africa","Egypt","1992-01-01",43526,"Female"
"Africa","Egypt","1992-02-01",30625,"Female"
"Africa","Egypt","1992-02-01",30983,"Female"
"Africa","Egypt","1992-03-01",30438,"Female"
"Africa","Egypt","1992-03-01",30795,"Female"
"Africa","Egypt","1992-04-01",27851,"Female"
"Africa","Egypt","1992-04-01",28177,"Female"
"Africa","Egypt","1992-05-01",28523,"Female"
"Africa","Egypt","1992-05-01",28857,"Female"
"Africa","Egypt","1992-06-01",26012,"Female"
"Africa","Egypt","1992-06-01",26317,"Female"
"Africa","Egypt","1992-07-01",28496,"Female"
"Africa","Egypt","1992-07-01",28829,"Female"
"Africa","Egypt","1992-08-01",31639,"Female"
"Africa","Egypt","1992-08-01",32010,"Female"
"Africa","Egypt","1992-09-01",38978,"Female"
"Africa","Egypt","1992-09-01",39434,"Female"
"Africa","Egypt","1992-10-01",31062,"Female"
"Africa","Egypt","1992-10-01",31426,"Female"
"Africa","Egypt","1992-11-01",29081,"Female"
"Africa","Egypt","1992-11-01",29422,"Female"
"Africa","Egypt","1992-12-01",24136,"Female"
"Africa","Egypt","1992-12-01",24418,"Female"
"Africa","Egypt","1993-01-01",43709,"Female"
"Africa","Egypt","1993-01-01",44270,"Female"
"Africa","Egypt","1993-02-01",32476,"Female"
"Africa","Egypt","1993-02-01",32894,"Female"
"Africa","Egypt","1993-03-01",30194,"Female"
"Africa","Egypt","1993-03-01",30582,"Female"
"Africa","Egypt","1993-04-01",32527,"Female"
"Africa","Egypt","1993-04-01",32945,"Female"
"Africa","Egypt","1993-05-01",27865,"Female"
"Africa","Egypt","1993-05-01",28223,"Female"
"Africa","Egypt","1993-06-01",27775,"Female"
"Africa","Egypt","1993-06-01",28132,"Female"
"Africa","Egypt","1993-07-01",31195,"Female"
"Africa","Egypt","1993-07-01",31596,"Female"
"Africa","Egypt","1993-08-01",35993,"Female"
"Africa","Egypt","1993-08-01",36455,"Female"
"Africa","Egypt","1993-09-01",43893,"Female"
"Africa","Egypt","1993-09-01",44456,"Female"
"Africa","Egypt","1993-10-01",32507,"Female"
"Africa","Egypt","1993-10-01",32925,"Female"
"Africa","Egypt","1993-11-01",32116,"Female"
"Africa","Egypt","1993-11-01",32529,"Female"
"Africa","Egypt","1993-12-01",24787,"Female"
"Africa","Egypt","1993-12-01",25105,"Female"
"Africa","Egypt","1994-01-01",46379,"Female"
"Africa","Egypt","1994-01-01",47019,"Female"
"Africa","Egypt","1994-02-01",30157,"Female"
"Africa","Egypt","1994-02-01",30572,"Female"
"Africa","Egypt","1994-03-01",32915,"Female"
"Africa","Egypt","1994-03-01",33368,"Female"
"Africa","Egypt","1994-04-01",30255,"Female"
"Africa","Egypt","1994-04-01",30671,"Female"
"Africa","Egypt","1994-05-01",27954,"Female"
"Africa","Egypt","1994-05-01",28339,"Female"
"Africa","Egypt","1994-06-01",30605,"Female"
"Africa","Egypt","1994-06-01",31027,"Female"
"Africa","Egypt","1994-07-01",31705,"Female"
"Africa","Egypt","1994-07-01",32142,"Female"
"Africa","Egypt","1994-08-01",34372,"Female"
"Africa","Egypt","1994-08-01",34846,"Female"
"Africa","Egypt","1994-09-01",42763,"Female"
"Africa","Egypt","1994-09-01",43353,"Female"
"Africa","Egypt","1994-10-01",35216,"Female"
"Africa","Egypt","1994-10-01",35701,"Female"
"Africa","Egypt","1994-11-01",29767,"Female"
"Africa","Egypt","1994-11-01",30177,"Female"
"Africa","Egypt","1994-12-01",25074,"Female"
"Africa","Egypt","1994-12-01",25419,"Female"
"Africa","Egypt","1995-01-01",50168,"Female"
"Africa","Egypt","1995-01-01",50888,"Female"
"Africa","Egypt","1995-02-01",29803,"Female"
"Africa","Egypt","1995-02-01",30230,"Female"
"Africa","Egypt","1995-03-01",33985,"Female"
"Africa","Egypt","1995-03-01",34473,"Female"
"Africa","Egypt","1995-04-01",30118,"Female"
"Africa","Egypt","1995-04-01",30550,"Female"
"Africa","Egypt","1995-05-01",28422,"Female"
"Africa","Egypt","1995-05-01",28830,"Female"
"Africa","Egypt","1995-06-01",28507,"Female"
"Africa","Egypt","1995-06-01",28916,"Female"
"Africa","Egypt","1995-07-01",31432,"Female"
"Africa","Egypt","1995-07-01",31883,"Female"
"Africa","Egypt","1995-08-01",33644,"Female"
"Africa","Egypt","1995-08-01",34127,"Female"
"Africa","Egypt","1995-09-01",44559,"Female"
"Africa","Egypt","1995-09-01",45198,"Female"
"Africa","Egypt","1995-10-01",32931,"Female"
"Africa","Egypt","1995-10-01",33403,"Female"
"Africa","Egypt","1995-11-01",29442,"Female"
"Africa","Egypt","1995-11-01",29864,"Female"
"Africa","Egypt","1995-12-01",22496,"Female"
"Africa","Egypt","1995-12-01",22818,"Female"
"Africa","Egypt","1996-01-01",50852,"Female"
"Africa","Egypt","1996-01-01",51587,"Female"
"Africa","Egypt","1996-02-01",34877,"Female"
"Africa","Egypt","1996-02-01",35380,"Female"
"Africa","Egypt","1996-03-01",36074,"Female"
"Africa","Egypt","1996-03-01",36595,"Female"
"Africa","Egypt","1996-04-01",27752,"Female"
"Africa","Egypt","1996-04-01",28153,"Female"
"Africa","Egypt","1996-05-01",31623,"Female"
"Africa","Egypt","1996-05-01",32080,"Female"
"Africa","Egypt","1996-06-01",30373,"Female"
"Africa","Egypt","1996-06-01",30811,"Female"
"Africa","Egypt","1996-07-01",33245,"Female"
"Africa","Egypt","1996-07-01",33725,"Female"
"Africa","Egypt","1996-08-01",35169,"Female"
"Africa","Egypt","1996-08-01",35676,"Female"
"Africa","Egypt","1996-09-01",46203,"Female"
"Africa","Egypt","1996-09-01",46871,"Female"
"Africa","Egypt","1996-10-01",33897,"Female"
"Africa","Egypt","1996-10-01",34386,"Female"
"Africa","Egypt","1996-11-01",29051,"Female"
"Africa","Egypt","1996-11-01",29471,"Female"
"Africa","Egypt","1996-12-01",20454,"Female"
"Africa","Egypt","1996-12-01",20750,"Female"
"Africa","Egypt","1997-01-01",46672,"Female"
"Africa","Egypt","1997-01-01",47335,"Female"
"Africa","Egypt","1997-02-01",34090,"Female"
"Africa","Egypt","1997-02-01",34574,"Female"
"Africa","Egypt","1997-03-01",35245,"Female"
"Africa","Egypt","1997-03-01",35745,"Female"
"Africa","Egypt","1997-04-01",29187,"Female"
"Africa","Egypt","1997-04-01",29602,"Female"
"Africa","Egypt","1997-05-01",30845,"Female"
"Africa","Egypt","1997-05-01",31282,"Female"
"Africa","Egypt","1997-06-01",30582,"Female"
"Africa","Egypt","1997-06-01",31016,"Female"
"Africa","Egypt","1997-07-01",34090,"Female"
"Africa","Egypt","1997-07-01",34573,"Female"
"Africa","Egypt","1997-08-01",35737,"Female"
"Africa","Egypt","1997-08-01",36244,"Female"
"Africa","Egypt","1997-09-01",44615,"Female"
"Africa","Egypt","1997-09-01",45248,"Female"
"Africa","Egypt","1997-10-01",30217,"Female"
"Africa","Egypt","1997-10-01",30646,"Female"
"Africa","Egypt","1997-11-01",31669,"Female"
"Africa","Egypt","1997-11-01",32119,"Female"
